,validDate,stoxxId,currency,closePrice,freeFloat,shares,Capfactor
344,20240531,MY227V,MYR,2.17,0.4526,280000000.0,
345,20240531,PH046G,PHP,26.95,0.503,28879231694.0,0.7952286
346,20240531,BR01UX,BRL,11.56,0.2802,15753833284.0,1.0
347,20240531,MY229X,MYR,7.24,0.385,510615380.0,1.0
348,20240531,CN0KAT,CNY,6.6,0.3244,2729193841.0,
349,20240531,625054,JPY,1587.5,1.0,286942682.0,1.0
350,20240531,TN20N5,TND,10.57,0.1733,30000000.0,
351,20240531,ZA00IR,ZAR,232.36,0.6702,446252332.0,1.0
352,20240531,MY404S,MYR,0.485,0.6745,2962000000.0,1.0
353,20240531,666634,JPY,1303.0,0.8953,19577071.0,1.0
354,20240531,CN0ZPN,CNY,1.9,0.6075,1460994304.0,
355,20240531,FR405F,EUR,90.35,0.7619,107106294.0,1.0
356,20240531,CN4014,USD,0.347,1.0,109749348.0,1.0
357,20240531,CN14X1,CNY,9.75,0.3203,2061708481.0,
358,20240531,CN1HEV,CNY,6.78,0.894,2261423642.0,
359,20240531,441870,EUR,95.72,0.734,182068120.0,1.0
360,20240531,TW05WQ,TWD,297.5,0.8622,258150312.0,1.0
361,20240531,CN139C,CNY,3.91,0.6142,1229994500.0,
362,20240531,IL20JO,ILS,19.37,0.4936,57473817.0,1.0
363,20240531,TR505U,TRY,101.1,0.2,180000000.0,1.0
364,20240531,VN21UF,VND,33850.0,0.5423,305756841.0,
365,20240531,TW14IC,TWD,83.1,0.8892,119471166.0,1.0
366,20240531,BR03DI,BRL,10.71,1.0,667594603.0,1.0
367,20240531,677678,JPY,2916.5,0.9441,231000000.0,1.0
368,20240531,468232,EUR,136.95,0.7833,255631733.0,1.0
369,20240531,215979,CAD,70.25,0.8831,166047542.0,1.0
370,20240531,646780,JPY,7410.0,0.9108,1584889504.0,1.0
371,20240531,714131,EUR,54.95,0.685,104000000.0,1.0
372,20240531,B28DT4,EUR,40.6,0.1444,102600000.0,1.0
373,20240531,JP502F,JPY,3180.0,0.7127,94597680.0,1.0
374,20240531,478396,SEK,107.8,0.9221,546454181.0,1.0
375,20240531,360254,CAD,70.37,0.8669,49388174.0,0.5652324
376,20240531,CN06W1,CNY,7.28,0.3107,4757389916.0,
377,20240531,CL0265,CLP,9.2,0.192,175889038036.0,
378,20240531,CN0JHZ,CNY,11.21,0.6016,534323305.0,
379,20240531,CN26AH,HKD,3.95,0.3967,2486160000.0,1.0
380,20240531,671574,AUD,17.8,1.0,1493915310.0,1.0
381,20240531,KR005G,KRW,351500.0,0.667,70592343.0,1.0
382,20240531,663972,JPY,2180.0,0.9441,148596955.0,1.0
383,20240531,IL20Z4,ILS,24.5,0.8555,179722472.0,1.0
384,20240531,TW00F4,TWD,105.5,0.8359,3723261811.0,0.4009224
385,20240531,CN255B,HKD,2.25,1.0,303673238.0,1.0
386,20240531,KR514L,KRW,111200.0,0.7471,11494767.0,1.0
387,20240531,689746,JPY,3921.0,1.0,176981297.0,1.0
388,20240531,TW08KH,TWD,14.85,0.4884,1579145300.0,1.0
389,20240531,TW018Y,TWD,10.2,1.0,3784850130.0,1.0
390,20240531,TH00AK,THB,5.4,0.9263,10018902725.0,0.3281874
391,20240531,641440,JPY,1773.0,0.9069,300794397.0,1.0
392,20240531,IN02DK,INR,7957.3,0.5822,111293510.0,0.4122295
393,20240531,DK1075,DKK,13.68,0.533,1541140000.0,1.0
394,20240531,UNP,USD,232.82,1.0,609597495.0,1.0
