Date;sd3e;sd3t;sd3gt
2007-08-30 00:00:00;146.392084412;155.570098595;158.295989983
2007-08-31 00:00:00;147.970175446;157.247243121;160.001977001
2007-09-03 00:00:00;147.734277513;156.996461575;159.747438136
2007-09-04 00:00:00;148.607761262;157.924696829;160.691456061
2007-09-05 00:00:00;145.433060103;154.550826205;157.258888266
2007-09-06 00:00:00;145.851503353;154.995705795;157.71112722
2007-09-07 00:00:00;142.815254439;151.769212271;154.428481993
2007-09-10 00:00:00;141.599167523;150.476828472;153.112952651
2007-09-11 00:00:00;143.441816987;152.434985743;155.105604798
2007-09-12 00:00:00;143.541026399;152.540451407;155.212692346
2007-09-13 00:00:00;145.348842336;154.461850287;157.168275726
2007-09-14 00:00:00;144.13892845;153.175650143;155.859336387
2007-09-17 00:00:00;141.92986556;150.828266172;153.471284062
2007-09-18 00:00:00;143.741649875;152.753443952;155.430162444
2007-09-19 00:00:00;147.343171967;156.581126112;159.324854196
2007-09-20 00:00:00;146.527891072;155.714727404;158.442617549
2007-09-21 00:00:00;147.03099302;156.248926449;158.987116544
2007-09-24 00:00:00;145.982459776;155.134838023;157.852812284
2007-09-25 00:00:00;144.629243407;153.696794806;156.389831625
2007-09-26 00:00:00;145.503609018;154.679308805;157.403044581
2007-09-27 00:00:00;146.700294983;155.951423958;158.697156414
2007-09-28 00:00:00;146.676043793;155.925658731;158.670796402
2007-10-01 00:00:00;147.752796603;157.070321894;159.835579426
2007-10-02 00:00:00;148.448585274;157.81029922;160.588487265
2007-10-03 00:00:00;148.697270198;158.112954756;160.906454908
2007-10-04 00:00:00;148.658468295;158.071386856;160.864443639
2007-10-05 00:00:00;151.968094253;161.590573362;164.446110251
2007-10-08 00:00:00;150.847689303;160.399189254;163.233549705
2007-10-09 00:00:00;151.320807961;160.90212649;163.745098685
2007-10-10 00:00:00;150.773172011;160.319832354;163.152822169
2007-10-11 00:00:00;151.004219707;160.56580439;163.403242281
2007-10-12 00:00:00;150.367515752;159.888694218;162.713763221
2007-10-15 00:00:00;148.442853174;157.842248102;160.631322284
2007-10-16 00:00:00;148.096281631;157.473633584;160.256515865
2007-10-17 00:00:00;148.541621655;157.947026693;160.737586082
2007-10-18 00:00:00;147.589211307;156.93462503;159.707898119
2007-10-19 00:00:00;146.870494239;156.170600158;158.930277769
2007-10-22 00:00:00;144.396431989;153.721185888;156.505980428
2007-10-23 00:00:00;145.660139422;155.066817823;157.875877294
2007-10-24 00:00:00;144.901297659;154.25847676;157.052950674
2007-10-25 00:00:00;146.982049711;156.47359923;159.308379189
2007-10-26 00:00:00;147.167240611;156.671132639;159.509374279
2007-10-29 00:00:00;147.4556093;156.977567075;159.82157567
2007-10-30 00:00:00;146.116061783;155.551547631;158.370127517
2007-10-31 00:00:00;147.560991741;157.089903466;159.936076971
2007-11-01 00:00:00;144.761522622;154.109725514;156.901380606
2007-11-02 00:00:00;143.252216779;152.50334948;155.26623612
2007-11-05 00:00:00;141.815223574;150.973238517;153.708524169
2007-11-06 00:00:00;141.783035632;150.938884881;153.673102903
2007-11-07 00:00:00;140.618096678;149.699062146;152.411117335
2007-11-08 00:00:00;139.68376449;148.704180838;151.398728129
2007-11-09 00:00:00;138.8283589;147.793122402;150.471185212
2007-11-12 00:00:00;139.543107592;148.554398983;151.246334311
2007-11-13 00:00:00;140.522855644;149.597375382;152.308148539
2007-11-14 00:00:00;139.931126622;148.967329692;151.666447
2007-11-15 00:00:00;138.987975819;147.963516438;150.64417279
2007-11-16 00:00:00;138.940796233;147.913360129;150.593100267
2007-11-19 00:00:00;137.472056016;146.349582603;149.001614551
2007-11-20 00:00:00;138.678442456;147.633721529;150.308082639
2007-11-21 00:00:00;136.013457205;144.844893332;147.480971366
2007-11-22 00:00:00;136.826092516;145.709917895;148.362384263
2007-11-23 00:00:00;139.19785884;148.235597238;150.93413292
2007-11-26 00:00:00;137.913868594;146.868322512;149.541994794
2007-11-27 00:00:00;137.718095356;146.660139476;149.329467198
2007-11-28 00:00:00;140.433346708;149.551341509;152.273551023
2007-11-29 00:00:00;140.823570392;149.967020509;152.696958714
2007-11-30 00:00:00;142.834655391;152.108626198;154.877425945
2007-12-03 00:00:00;142.447518221;151.696382562;154.457313256
2007-12-04 00:00:00;140.399835974;149.515613728;152.237306007
2007-12-05 00:00:00;142.622567716;151.882922807;154.647599591
2007-12-06 00:00:00;142.970902982;152.335360198;155.136083561
2007-12-07 00:00:00;144.193162928;153.637706551;156.462321658
2007-12-10 00:00:00;144.494759538;153.958913051;156.789350555
2007-12-11 00:00:00;143.672423752;153.082895324;155.897228904
2007-12-12 00:00:00;143.936982182;153.364595142;156.183894033
2007-12-13 00:00:00;141.161323321;150.407434127;153.172262678
2007-12-14 00:00:00;141.526854885;150.797004363;153.569310356
2007-12-17 00:00:00;139.453157725;148.587378474;151.318824343
2007-12-18 00:00:00;139.056761011;148.164828747;150.88882665
2007-12-19 00:00:00;138.036447333;147.077536157;149.781706152
2007-12-20 00:00:00;138.480905495;147.551272802;150.263600119
2007-12-21 00:00:00;139.907757294;149.071764746;151.812250816
2007-12-24 00:00:00;139.993738784;149.163145419;151.905334607
2007-12-27 00:00:00;141.090774407;150.332199663;153.095653893
2007-12-28 00:00:00;141.3390184;150.596379127;153.365020264
2007-12-31 00:00:00;141.316971864;150.573018654;153.341131504
2008-01-02 00:00:00;139.792233446;148.948435192;151.687040759
2008-01-03 00:00:00;139.261352864;148.382974338;151.11123925
2008-01-04 00:00:00;138.110523693;147.156893057;149.862433688
2008-01-07 00:00:00;138.684174556;147.767700711;150.484365218
2008-01-08 00:00:00;139.465503785;148.600432856;151.3328281
2008-01-09 00:00:00;138.581437699;147.658112611;150.373158918
2008-01-10 00:00:00;136.372374809;145.304544986;147.976045339
2008-01-11 00:00:00;135.709655942;144.598234223;147.256911266
2008-01-14 00:00:00;136.005520453;144.913600605;147.57735016
2008-01-15 00:00:00;133.147407548;141.86849428;144.476753765
2008-01-16 00:00:00;132.42251745;141.096224535;143.690072161
2008-01-17 00:00:00;132.380629032;141.051221272;143.64476589
2008-01-18 00:00:00;130.468312514;139.014050637;141.569738706
2008-01-21 00:00:00;123.761756315;131.963997389;134.416290487
2008-01-22 00:00:00;125.443466068;133.757600742;136.24336881
2008-01-23 00:00:00;120.733003223;128.73509911;131.127055257
2008-01-24 00:00:00;125.800619949;134.138582569;136.631355234
2008-01-25 00:00:00;126.226999951;134.593081178;137.094302942
2008-01-28 00:00:00;125.237551424;133.538081006;136.019308709
2008-01-29 00:00:00;127.575366083;136.030780858;138.558931102
2008-01-30 00:00:00;127.066091105;135.487649868;138.005370852
2008-01-31 00:00:00;126.93381189;135.346799959;137.862038288
2008-02-01 00:00:00;128.413575375;136.924318939;139.469175261
2008-02-04 00:00:00;129.115537076;137.672884675;140.231144354
2008-02-05 00:00:00;124.763109973;133.031708406;135.503640977
2008-02-06 00:00:00;125.762699907;134.097701742;136.589343965
2008-02-07 00:00:00;123.785125643;131.98941908;134.441826749
2008-02-08 00:00:00;123.456632259;131.639011989;134.085142838
2008-02-11 00:00:00;122.321235664;130.428389845;132.851988533
2008-02-12 00:00:00;125.521069874;133.840393006;136.327391347
2008-02-13 00:00:00;125.390554382;133.701260778;136.185706284
2008-02-14 00:00:00;125.823989277;134.163317187;136.656067745
2008-02-15 00:00:00;123.907704382;132.119962898;134.575274309
2008-02-18 00:00:00;125.340288281;133.647325569;136.130515009
2008-02-19 00:00:00;125.832807891;134.172936205;136.66595275
2008-02-20 00:00:00;124.598642815;132.856848397;135.325710897
2008-02-21 00:00:00;124.475623145;132.72527397;135.191439586
2008-02-22 00:00:00;123.059794614;131.216118726;133.654321394
2008-02-25 00:00:00;125.402900442;133.71431516;136.198886289
2008-02-26 00:00:00;127.052863184;135.473564877;137.991367096
2008-02-27 00:00:00;127.119443722;135.620941977;138.160235922
2008-02-28 00:00:00;125.754322223;134.164347796;136.676661504
2008-02-29 00:00:00;124.354367198;132.670651688;135.15519457
2008-03-03 00:00:00;122.748497529;130.957779381;133.409667534
2008-03-04 00:00:00;120.509010419;128.568140438;130.975485189
2008-03-05 00:00:00;123.187664522;131.426019444;133.886618999
2008-03-06 00:00:00;121.237868894;129.345906764;131.767933046
2008-03-07 00:00:00;119.761632855;127.771136075;130.163267323
2008-03-10 00:00:00;119.78323846;127.793809475;130.186332334
2008-03-11 00:00:00;121.587967883;129.719330791;132.148505717
2008-03-12 00:00:00;122.406335293;130.59225669;133.037332367
2008-03-13 00:00:00;120.580882126;128.644749047;131.053741474
2008-03-14 00:00:00;119.558804725;127.554708166;129.943325974
2008-03-17 00:00:00;116.19582615;123.966814387;126.28834558
2008-03-18 00:00:00;119.119196801;127.08578103;129.465550759
2008-03-19 00:00:00;116.769477012;124.57865265;126.91110086
2008-03-20 00:00:00;114.727526864;122.400288571;124.691917361
2008-03-25 00:00:00;119.408447351;127.393933148;129.779399651
2008-03-26 00:00:00;118.330371749;126.243773403;128.607202873
2008-03-27 00:00:00;119.944619102;127.965921193;130.361791163
2008-03-28 00:00:00;119.404478974;127.389810711;129.775280899
2008-03-31 00:00:00;119.170785694;127.366106702;129.791755906
2008-04-01 00:00:00;124.01088217;132.667903398;135.24498336
2008-04-02 00:00:00;126.092075152;134.894019032;137.514415631
2008-04-03 00:00:00;123.218529672;131.820399189;134.380869221
2008-04-04 00:00:00;123.571715176;132.197945653;134.766384395
2008-04-07 00:00:00;125.146278765;133.882647978;136.483080167
2008-04-08 00:00:00;124.406397023;133.090796661;135.676628554
2008-04-09 00:00:00;122.902823279;131.482359408;134.036541566
2008-04-10 00:00:00;122.282874692;130.81899069;133.360242512
2008-04-11 00:00:00;121.00153003;129.448280601;131.963161883
2008-04-14 00:00:00;119.273522551;127.599711429;130.078421035
2008-04-15 00:00:00;119.125810761;127.650554811;130.201159841
2008-04-16 00:00:00;121.173052078;129.844034491;132.438465847
2008-04-17 00:00:00;121.128959007;129.796970009;132.390688326
2008-04-18 00:00:00;124.424916113;133.643890206;136.40070513
2008-04-21 00:00:00;123.088896042;132.208938816;134.936076971
2008-04-22 00:00:00;121.800055557;130.824487272;133.523345086
2008-04-23 00:00:00;122.04785862;131.307155862;134.071139082
2008-04-24 00:00:00;121.132045522;130.669895908;133.51098883
2008-04-25 00:00:00;122.00464741;131.745164726;134.646116841
2008-04-28 00:00:00;123.349045165;133.272183861;136.227717552
2008-04-29 00:00:00;122.44160975;132.29173108;135.226037102
2008-04-30 00:00:00;123.079195566;132.980521488;135.929519918
2008-05-01 00:00:00;123.079195566;132.980521488;135.929519918
2008-05-02 00:00:00;125.765345491;136.283280085;139.389271475
2008-05-05 00:00:00;125.748149193;136.265072658;139.370325217
2008-05-06 00:00:00;124.805880252;135.24373905;138.325809747
2008-05-07 00:00:00;125.76446363;136.401113058;139.541665294
2008-05-08 00:00:00;125.660403981;136.288433131;139.426340242
2008-05-09 00:00:00;124.534266931;135.067161359;138.17753468
2008-05-12 00:00:00;124.760464388;135.498986568;138.683317407
2008-05-13 00:00:00;123.827014061;134.485554296;137.64539194
2008-05-14 00:00:00;125.092044287;135.966883095;139.198161389
2008-05-15 00:00:00;125.768432006;136.701707376;139.951069228
2008-05-16 00:00:00;125.393640897;136.556047958;139.873636693
2008-05-19 00:00:00;125.96773269;137.278161393;140.649609542
2008-05-20 00:00:00;123.788653089;134.903294514;138.217074698
2008-05-21 00:00:00;121.779772744;132.71393727;135.974002438
2008-05-22 00:00:00;121.713192206;132.954756261;136.318330093
2008-05-23 00:00:00;119.68491091;130.739290254;134.046426571
2008-05-26 00:00:00;119.861724127;131.113057817;134.491251771
2008-05-27 00:00:00;119.224138311;130.654436772;134.102441596
2008-05-28 00:00:00;120.079984832;131.915558762;135.492108471
2008-05-29 00:00:00;119.644786215;131.643134426;135.282875877
2008-05-30 00:00:00;120.180957966;132.473461816;136.202181291
2008-06-02 00:00:00;118.890794689;131.051221272;134.740024383
2008-06-03 00:00:00;118.463973756;130.58091999;134.257306666
2008-06-04 00:00:00;117.53096436;129.552372119;133.19961119
2008-06-05 00:00:00;116.896905989;128.853619156;132.481300867
2008-06-06 00:00:00;113.946638565;125.60170394;129.136874362
2008-06-09 00:00:00;112.454969951;123.957195369;127.446538601
2008-06-10 00:00:00;110.890106838;122.232299289;125.673004053
2008-06-11 00:00:00;108.84242459;119.974921845;123.352499259
2008-06-12 00:00:00;110.783842535;122.115496925;125.552736499
2008-06-13 00:00:00;111.107485681;122.599196125;126.093940492
2008-06-16 00:00:00;110.735781087;122.189013707;125.672180302
2008-06-17 00:00:00;111.380862725;122.900477516;126.404494382
2008-06-18 00:00:00;108.370628723;119.578824419;122.987577844
2008-06-19 00:00:00;107.553584105;118.677385001;122.060858677
2008-06-20 00:00:00;105.458722271;116.366072349;119.683515108
2008-06-23 00:00:00;104.306570309;115.094987804;118.376223269
2008-06-24 00:00:00;104.129757091;114.899515614;118.175228179
2008-06-25 00:00:00;106.289876672;117.282970902;120.626709282
2008-06-26 00:00:00;101.861609485;112.396853207;115.60100827
2008-06-27 00:00:00;101.19977248;111.666838435;114.850571683
2008-06-30 00:00:00;100.375672971;110.757154145;113.914791262
2008-07-01 00:00:00;97.9069018885;108.03325432;111.113216251
2008-07-02 00:00:00;97.5920773569;107.68559552;110.75570859
2008-07-03 00:00:00;98.7314423285;108.94293861;112.048172922
2008-07-04 00:00:00;96.7498996883;106.756673194;109.80015816
2008-07-07 00:00:00;97.2675523495;107.421416057;110.515997232
2008-07-08 00:00:00;94.6030080293;104.478683569;107.48789087
2008-07-09 00:00:00;96.8596914367;106.971039885;110.052225774
2008-07-10 00:00:00;94.8208278033;104.719159023;107.735839731
2008-07-11 00:00:00;91.4913599626;101.04194579;103.952354279
2008-07-14 00:00:00;92.3189869176;101.956439589;104.893077202
2008-07-15 00:00:00;88.8351933261;98.1084887835;100.934956671
2008-07-16 00:00:00;90.1019872747;99.5077123914;102.374048568
2008-07-17 00:00:00;93.2427367688;102.976399052;105.942535174
2008-07-18 00:00:00;96.149792983;106.186746367;109.245774161
2008-07-21 00:00:00;97.6577760337;107.852210656;110.959174932
2008-07-22 00:00:00;95.6585961648;105.644302449;108.687271409
2008-07-23 00:00:00;98.5537472497;108.841938919;111.97733039
2008-07-24 00:00:00;96.5602994801;106.640214367;109.71201687
2008-07-25 00:00:00;95.1171332449;105.046205641;108.071929882
2008-07-28 00:00:00;92.761681357;102.444948298;105.396388678
2008-07-29 00:00:00;93.2581693439;102.99357587;105.960657682
2008-07-30 00:00:00;95.1801863373;105.116287059;108.144419915
2008-07-31 00:00:00;95.4548861737;105.419286131;108.455797555
2008-08-01 00:00:00;94.2970021121;104.183929369;107.194635738
2008-08-04 00:00:00;94.04346695;103.903947233;106.907146858
2008-08-05 00:00:00;97.7322933247;107.979319111;111.100036245
2008-08-06 00:00:00;99.0669906038;109.540691882;112.728590728
2008-08-07 00:00:00;98.3046213948;108.697997183;111.862005338
2008-08-08 00:00:00;98.9073736844;109.511147755;112.725295726
2008-08-11 00:00:00;101.226228323;112.078738534;115.368710666
2008-08-12 00:00:00;100.352303643;111.110996599;114.371972717
2008-08-13 00:00:00;96.9580189865;107.352708784;110.503640977
2008-08-14 00:00:00;97.4315785761;108.042186265;111.24336881
2008-08-15 00:00:00;97.8592813711;108.516266447;111.731852779
2008-08-18 00:00:00;97.5885499112;108.216015665;111.42212264
2008-08-19 00:00:00;94.2502634561;104.51441135;107.611453425
2008-08-20 00:00:00;94.7229411843;105.038304305;108.151009918
2008-08-21 00:00:00;93.0897338101;103.227524133;106.286039079
2008-08-22 00:00:00;95.5527727928;105.958638222;109.098322844
2008-08-25 00:00:00;94.6197633966;104.924250232;108.033213615
