Date;sxxe;sxxt;sxxgt
2011-07-18 00:00:00;85.1935769875;100.26535254;105.174353206
2011-07-19 00:00:00;86.2509440778;101.50919257;106.479190101
2011-07-20 00:00:00;87.6235510459;103.122630781;108.16647919
2011-07-21 00:00:00;89.1800479427;104.956406368;110.089988751
2011-07-22 00:00:00;89.6496240108;105.510803639;110.674915636
2011-07-25 00:00:00;88.9764555216;104.719484458;109.842519685
2011-07-26 00:00:00;88.707188126;104.402009098;109.516310461
2011-07-27 00:00:00;87.3181624142;102.769617134;107.795275591
2011-07-28 00:00:00;86.9241125669;102.321834723;107.33408324
2011-07-29 00:00:00;86.283781565;101.568423048;106.546681665
2011-08-01 00:00:00;84.0573999278;98.9859742229;103.847019123
2011-08-02 00:00:00;82.2283518865;96.8323540561;101.586051744
2011-08-03 00:00:00;80.5963287689;94.9132865807;99.5725534308
2011-08-04 00:00:00;77.5719961909;91.3523502654;95.8380202475
2011-08-05 00:00:00;76.4555216235;90.039802881;94.4544431946
2011-08-08 00:00:00;73.158637901;86.1566527672;90.3824521935
2011-08-09 00:00:00;73.8712113749;86.9977255497;91.2710911136
2011-08-10 00:00:00;70.2919252619;82.7971000758;86.8616422947
2011-08-11 00:00:00;72.4657669195;85.3534874905;89.550056243
2011-08-12 00:00:00;75.3062095688;88.7011940864;93.0596175478
2011-08-15 00:00:00;75.8283256165;89.3171910538;93.7007874016
2011-08-16 00:00:00;75.4638295078;88.8883623958;93.2508436445
2011-08-17 00:00:00;75.6641381801;89.1252843063;93.4983127109
2011-08-18 00:00:00;71.5890060093;84.3228771797;88.4701912261
2011-08-19 00:00:00;70.242669031;82.7402388173;86.8053993251
2011-08-22 00:00:00;70.8271763045;83.4320507961;87.5253093363
2011-08-23 00:00:00;71.217942403;83.8940485216;88.0089988751
2011-08-24 00:00:00;72.5248743966;85.4364101592;89.6287964004
2011-08-25 00:00:00;71.8911108922;84.6877369219;88.8526434196
2011-08-26 00:00:00;71.2343611467;83.9201099318;88.0427446569
2011-08-29 00:00:00;72.8663842643;85.8415466262;90.0562429696
2011-08-30 00:00:00;72.9878829672;85.9860689917;90.2137232846
