RIC;Name;Country;ISO;Weight
033290.KQ;COWELL FASHION CO LTD ORD;KOREA;KR;0.0001
014680.KS;HANSOL CHEMICAL CO LTD ORD;KOREA;KR;0.001448
020560.KS;ASIANA AIRLINES INC ORD;KOREA;KR;0.000261
001040.KS;CJ CORP ORD;KOREA;KR;0.000842
001680.KS;DAESANG CORP ORD;KOREA;KR;0.000313
004000.KS;LOTTE FINE CHEMICAL CO LTD ORD;KOREA;KR;0.000663
005850.KS;SL CORP ORD;KOREA;KR;0.00032
DINV.DU;DUBAI INVESTMENTS PJSC ORD;UNITED ARAB EMIRATES;AE;0.001164
AMAR.NS;AMARA RAJA ENERGY & MOBILITY LTD ORD;INDIA;IN;0.000952
KCEn.BK;KCE ELEC NVDR;THAILAND;TH;0.000663
BION.NS;BIOCON LTD ORD;INDIA;IN;0.001062
GESC.NS;GREAT EASTERN SHIPPING COMPANY LTD ORD;INDIA;IN;0.000973
JKIN.NS;JK TYRE & INDUSTRIES LTD ORD;INDIA;IN;0.000442
JAIC.NS;JAI CORP LTD ORD;INDIA;IN;0.000179
3016.TW;EPISIL-PRECISION INC ORD;TAIWAN;TW;0.000175
SIBK.NS;SOUTH INDIAN BANK LTD ORD;INDIA;IN;0.000313
005300.KS;LOTTE CHILSUNG BEVERAGE CO LTD ORD;KOREA;KR;0.000361
AJPH.NS;AJANTA PHARMA LTD ORD;INDIA;IN;0.001014
CEAT.NS;CEAT LTD ORD;INDIA;IN;0.000457
SCC.PS;SEMIRARA MINING AND POWER CORPORATION ORD;PHILIPPINES;PH;0.000396
SOFT.NS;SONATA SOFTWARE LTD ORD;INDIA;IN;0.001261
JMSH.NS;JM FINANCIAL LTD ORD;INDIA;IN;0.000331
0120.HK;COSMOPOLITAN INTERNATIONAL HOLDINGS LTD ORD;HONG KONG;HK;0.000056
JASf.BK;JASMINE INTERNATIONAL PCL ORD;THAILAND;TH;0.000249
GALK.NS;GUJARAT ALKALIES AND CHEMICALS LTD ORD;INDIA;IN;0.000166
CYIE.NS;CYIENT LTD ORD;INDIA;IN;0.001914
YINS.KL;YINSON HOLDINGS BERHAD ORD;MALAYSIA;MY;0.000595
MHSC.NS;MAHARASHTRA SCOOTERS LTD ORD;INDIA;IN;0.000178
USBL.NS;USHA MARTIN LTD ORD;INDIA;IN;0.000428
CCLP.NS;CCL PRODUCTS (INDIA) LTD ORD;INDIA;IN;0.000456
8210.TW;CHENBRO MICOM CO LTD ORD;TAIWAN;TW;0.000416
900912.SS;SHANGHAI WAIGAOQIAO FREE TRADE ZONE GROUP CO LTD ORD;CHINA;CN;0.000093
4105.TWO;TTY BIOPHARM CO LTD ORD;TAIWAN;TW;0.00053
2520.TW;KINDOM DEVELOPMENT CO LTD ORD;TAIWAN;TW;0.000329
MPIM.KL;MALAYSIAN PACIFIC INDUSTRIES BHD ORD;MALAYSIA;MY;0.000453
3017.TW;ASIA VITAL COMPONENTS CO LTD ORD;TAIWAN;TW;0.003093
8050.TWO;IBASE TECHNOLOGY INC ORD;TAIWAN;TW;0.000228
PMBT.KL;PMB TECHNOLOGY BHD ORD;MALAYSIA;MY;0.000218
065350.KQ;SHINSUNG DELTA TECH CO LTD ORD;KOREA;KR;0.000453
HYPJ.J;HYPROP INVESTMENTS LTD ORD;SOUTH AFRICA;ZA;0.000508
2360.TW;CHROMA ATE INC ORD;TAIWAN;TW;0.002271
5306.TW;KMC KUEI MENG INTERNATIONAL INC ORD;TAIWAN;TW;0.000171
2362.TW;CLEVO CO ORD;TAIWAN;TW;0.000322
200488.SZ;SHANDONG CHENMING PAPER HOLDINGS LTD ORD;CHINA;CN;0.000064
2492.TW;WALSIN TECHNOLOGY CORP ORD;TAIWAN;TW;0.001045
2913.TW;TAIWAN TEA CORP ORD;TAIWAN;TW;0.000272
5351.TWO;ETRON TECHNOLOGY INC ORD;TAIWAN;TW;0.000328
2421.TW;SUNONWEALTH ELECTRIC MACHINE INDUSTRY CO LTD ORD;TAIWAN;TW;0.000583
5371.TWO;CORETRONIC CORP ORD;TAIWAN;TW;0.000459
2428.TW;THINKING ELECTRONIC INDUSTRIAL CO LTD ORD;TAIWAN;TW;0.000317
TUPY3.SA;TUPY SA ORD;BRAZIL;BR;0.000432
3010.TW;WAH LEE INDUSTRIAL CORP ORD;TAIWAN;TW;0.000364
2607.TW;EVERGREEN INTERNATIONAL STORAGE & TRANSPORT CORP ORD;TAIWAN;TW;0.00037
2511.TW;PRINCE HOUSING & DEVELOPMENT CORP ORD;TAIWAN;TW;0.000289
2015.TW;FENG HSIN STEEL CO LTD ORD;TAIWAN;TW;0.000897
2014.TW;CHUNG HUNG STEEL CORP ORD;TAIWAN;TW;0.000621
SETI.KL;S P SETIA BHD ORD;MALAYSIA;MY;0.000292
ARLJ.J;ASTRAL FOODS LTD ORD;SOUTH AFRICA;ZA;0.000252
900911.SS;SHANGHAI JINQIAO EXPORT PROCESSING ZONE DEVELOPMENT CO LTD ORD;CHINA;CN;0.000185
002840.KS;MIWON COMMERCIAL CO LTD ORD;KOREA;KR;0.000118
000240.KS;HANKOOK & COMPANY CO LTD ORD;KOREA;KR;0.000287
000670.KS;YOUNGPOONG CORP ORD;KOREA;KR;0.000078
001800.KS;ORION HOLDINGS CORP ORD;KOREA;KR;0.000196
003540.KS;DAISHIN SECURITIES CO LTD ORD;KOREA;KR;0.000291
001440.KS;TAIHAN ELECTRIC WIRE CO LTD ORD;KOREA;KR;0.000403
000370.KS;HANWHA GENERAL INSURANCE CO LTD ORD;KOREA;KR;0.000141
014820.KS;DONGWON SYSTEMS CORP ORD;KOREA;KR;0.000157
6285.TW;WISTRON NEWEB CORP ORD;TAIWAN;TW;0.001347
010120.KS;LS ELECTRIC CO LTD ORD;KOREA;KR;0.000713
017960.KS;HANKUK CARBON CO LTD ORD;KOREA;KR;0.000255
011930.KS;SHINSUNG E&G CO LTD ORD;KOREA;KR;0.0002
000880.KS;HANWHA CORP ORD;KOREA;KR;0.000685
000250.KQ;SAM CHUN DANG PHARM CO LTD ORD;KOREA;KR;0.000658
