Date;internalNumber;country;Final_Weight
2023-12-18;TW021S;TW;0.000730536
2023-12-18;TW1684;TW;0.000529945
2023-12-18;TW14WQ;TW;0.00068951
2023-12-18;TW026X;TW;0.000616804
2023-12-18;ZA20W7;ZA;0.000574411
2023-12-18;IN511C;IN;0.000412792
2023-12-18;TW30JB;TW;0.000475051
2023-12-18;IN0BCS;IN;0.00036578
2023-12-18;IN607I;IN;0.000488792
2023-12-18;IN80N0;IN;0.000356418
2023-12-18;KR80O7;KR;0.000606556
2023-12-18;IN08HU;IN;0.000225874
2023-12-18;HK90MW;CN;0.000390073
2023-12-18;TW02B2;TW;0.000476595
2023-12-18;IN12Z7;IN;0.000468206
2023-12-18;KR01Q2;KR;0.00045727
2023-12-18;IN09Q4;IN;0.000286359
2023-12-18;B1G6TS;PL;0.000286028
2023-12-18;BR30EJ;BR;0.000335312
2023-12-18;CL0096;CL;0.000357985
2023-12-18;IN30QY;IN;0.000619475
2023-12-18;MY214R;MY;0.000341416
2023-12-18;TW10UK;TW;0.000434226
2023-12-18;IN11T0;IN;0.0004353
2023-12-18;ZA404H;ZA;0.000584441
2023-12-18;IN81ES;IN;0.00035356
2023-12-18;TW16FB;TW;0.000829774
2023-12-18;CN8BM4;CN;0.000247943
2023-12-18;TH216J;TH;0.000661479
2023-12-18;TW0470;TW;0.000666706
2023-12-18;406720;TR;0.000207015
2023-12-18;IN816K;IN;0.0002864
2023-12-18;TW05ZT;TW;0.000724234
2023-12-18;KR07TB;KR;0.000505607
2023-12-18;IN50KU;IN;0.00044419
2023-12-18;CN0OD0;CN;0.000737839
2023-12-18;TH513J;TH;0.000376372
2023-12-18;778920;TR;0.000321108
2023-12-18;TW03XP;TW;0.000676308
2023-12-18;619728;CN;0.000230752
