,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Mcap_Units_Index_Currency,Weight
174940,2023-12-18,2054,IN823I,INE922A01025,BHANSALI ENGR.POLYMERS,IN,INR,55201000.0,1.0,177051707.0,0.00015578275541140444
175316,2023-12-18,2054,TW04F8,TW0002547007,RADIUM LIFE,TW,TWD,35101010.0,1.0,182446147.0,0.00015518082980836602
177253,2023-12-18,2054,TH20S4,TH0535010Z05,THORESEN THAI AG.,TH,THB,50206030.0,0.4284813,107021490.0,0.00015509362871717029
177446,2023-12-18,2054,EG20KG,EGS65571C019,MADINET MASR,EG,EGP,35101010.0,1.0,169273033.0,0.00015501179098337058
177013,2023-12-18,2054,TR20N9,TREHTTB00036,HITIT BILGISAYAR HIZMETLERI,TR,TRY,10101015.0,1.0,102119222.0,0.00015497158593446477
175795,2023-12-18,2054,KR81RB,KR7050890003,SOLID,KR,KRW,15101010.0,1.0,244911189.0,0.00015450800228971687
176589,2023-12-18,2054,MY703U,MYL4456OO009,DAGANG NEXCHANGE,MY,MYR,10101010.0,1.0,235331151.0,0.0001544563077326503
175858,2023-12-18,2054,KR31WB,KR7214680001,DRTECH,KR,KRW,20102010.0,1.0,192927440.0,0.00015362552961411865
175824,2023-12-18,2054,KR09FZ,KR7304100001,SALTLUX,KR,KRW,10101010.0,1.0,215561963.0,0.00015332842345289413
176676,2023-12-18,2054,MY232R,MYL3042OO008,PETRON MALAYSIA REFINING& MKTG,MY,MYR,60101020.0,1.0,69616799.0,0.00015331454883296837
177264,2023-12-18,2054,TH10DO,TH0472B10Z01,SEAMICO CAPITAL,TH,THB,30202015.0,0.4612832,83338543.0,0.00015316513758284442
175273,2023-12-18,2054,TW1561,TW0006192008,LUMAX INTERNATIONAL,TW,TWD,50202025.0,1.0,253212980.0,0.00015287098643191984
177465,2023-12-18,2054,EG00GA,EGS60101C010,AL BARKA EGYPT BANK,EG,EGP,30101010.0,1.0,55946083.0,0.00015243380680595594
176641,2023-12-18,2054,MY604U,MYL7095OO002,PIE INDUSTRIAL,MY,MYR,50202010.0,1.0,111538109.0,0.00015133389223777156
175397,2023-12-18,2054,532172,PLTIM0000016,TIM,PL,PLN,50202010.0,1.0,165424072.0,0.00015132102934463897
176819,2023-12-18,2054,CN25JP,CNE000000LT3,GUANGDONG PRVL.EXPR.'B',CN,HKD,50206060.0,1.0,251995393.0,0.00015094486810668983
