,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Mcap_Units_Index_Currency,Weight
176635,2023-12-18,2034,MY220O,MYL3417OO002,EASTERN & ORIENTAL,MY,MYR,35101010.0,1.0,116264266.0,0.00010504279421367257
177047,2023-12-18,2034,TR00G0,TRAEGGUB91E8,EGE GUBRE SANAYI,TR,TRY,55201000.0,1.0,74261531.0,0.00010487700131639524
176693,2023-12-18,2034,MY30AX,MYL1368OO009,UEM EDGENTA,MY,MYR,50101015.0,1.0,43714771.0,0.00010480619498498066
175419,2023-12-18,2034,PL703K,PLCLNPH00015,CELON PHARMA,PL,PLN,20103015.0,1.0,83658389.0,0.00010474959393558052
177040,2023-12-18,2034,TR508X,TRAAFYON91F6,AFYON CIMENTO,TR,TRY,50101030.0,1.0,78308919.0,0.0001043981108994254
175442,2023-12-18,2034,EW036,NL0000686509,ASTARTA HOLDING,PL,PLN,45102035.0,1.0,53591950.0,0.00010406089046745703
175315,2023-12-18,2034,TW031T,TW0002349008,Ritek Corp,TW,TWD,10102030.0,1.0,182830027.0,0.00010392958632048736
175328,2023-12-18,2034,TW40A3,KYG984291065,YEONG GUAN EN.TECH.GP.,TW,TWD,55102015.0,1.0,164058938.0,0.00010355648878479273
175329,2023-12-18,2034,TW19GF,TW0001527000,BASSO INDUSTRY,TW,TWD,50204040.0,1.0,163808669.0,0.00010355039792644013
177057,2023-12-18,2034,TR10AV,TREKGYO00014,KILER GAYMEN.YATOTA.,TR,TRY,35102000.0,1.0,69141381.0,0.0001029913702995765
177118,2023-12-18,2034,TR20XJ,TRAALKAW91D8,ALKIM KAGIT,TR,TRY,55101015.0,1.0,33529762.0,0.0001028821234232052
177267,2023-12-18,2034,TH108J,TH8463010000,CHAYO GROUP,TH,THB,30202010.0,0.8105873,83140413.0,0.00010278936094323707
177112,2023-12-18,2034,TR20RD,TREISBS00012,ISBIR SENTETIK DOKUMA SANAYI,TR,TRY,55101020.0,1.0,36125638.0,0.00010229753036910673
175000,2023-12-18,2034,CN24W1,CNE0000004C0,SHAI.CHLOR-ALKALI CHM. 'B',CN,USD,55201000.0,1.0,175227360.0,0.00010204968970422381
176633,2023-12-18,2034,MY10YJ,MYL7241OO002,NEXTGREEN GLOBAL,MY,MYR,50101010.0,1.0,116696627.0,0.00010150083852215025
176684,2023-12-18,2034,MY70D4,MYL5283OO006,ECO WORLD INTERNATIONAL,MY,MYR,35101010.0,1.0,57060134.0,0.00010082074707242951
174598,2023-12-18,2034,BR905G,BRBHIAACNOR1,CASAS BAHIA,BR,BRL,40401030.0,1.0,168017711.0,0.00010074918821338344
175431,2023-12-18,2034,PL90CV,PLAMBRA00013,AMBRA,PL,PLN,45101015.0,1.0,68102013.0,0.00010037506085445914
175319,2023-12-18,2034,TW19KJ,TW0003645008,TAIMIDE TECH,TW,TWD,10102015.0,1.0,177728174.0,9.94616574835599e-05
175414,2023-12-18,2034,PL00KU,PLSNKTK00019,SYNEKTIK,PL,PLN,20101025.0,1.0,93169312.0,9.943007237305562e-05
177067,2023-12-18,2034,TR30RE,TRABISAS91B7,RAL YATIRIM HOLDING ANONIM SIRKETI,TR,TRY,55101020.0,1.0,63361604.0,9.937275458634811e-05
177309,2023-12-18,2034,TH205H,TH0438010Z02,ITALIAN-THAI DEVELOPMENT,TH,THB,50101010.0,0.3172109,34305187.0,9.936990004724115e-05
175403,2023-12-18,2034,PL909S,PLTSQGM00016,TEN SQUARE GAMES,PL,PLN,40203040.0,1.0,124978374.0,9.89470615836638e-05
177022,2023-12-18,2034,487560,TRATATKS91A5,TAT GIDA,TR,TRY,45102020.0,1.0,91355277.0,9.845348452343976e-05
175407,2023-12-18,2034,PL401F,PLPKPCR00011,PKP CARGO,PL,PLN,50206020.0,1.0,108624956.0,9.834845280669671e-05
177306,2023-12-18,2034,TH40ES,TH0940010Y08,SINGHA ESTATE,TH,THB,35101010.0,0.5482051,37682594.0,9.758470385258106e-05
175413,2023-12-18,2034,PL005F,PLMRBUD00015,MIRBUD,PL,PLN,50101010.0,1.0,94611357.0,9.662804433239326e-05
175433,2023-12-18,2034,PL00HR,PLOPNPL00013,OPONEO PL SERIES A B,PL,PLN,40101010.0,1.0,65247798.0,9.631088260888686e-05
176860,2023-12-18,2034,CN24NS,CNE000000ST8,LU THAI TEX.JOINT STK. 'B',CN,HKD,55101020.0,1.0,94861112.0,9.61436795246092e-05
177037,2023-12-18,2034,ET015,TRESNGY00019,SINPAS GAYMEN.YATOTA.,TR,TRY,35102000.0,1.0,79747779.0,9.54787768833621e-05
176634,2023-12-18,2034,MY804W,MYL5072OO003,HIAP TECK VENTURE,MY,MYR,55102010.0,1.0,116306489.0,9.501338389703678e-05
175404,2023-12-18,2034,PL90J2,PLRNBWT00031,RAINBOW TOURS SR.B C2 E,PL,PLN,40501015.0,1.0,120731145.0,9.42693991069689e-05
175006,2023-12-18,2034,CN871F,US06684L1035,BAOZUN ADR,CN,USD,10101020.0,1.0,137818307.0,9.417825546796131e-05
176669,2023-12-18,2034,MY213Q,MYL5142OO004,WASCO,MY,MYR,60101030.0,1.0,77663557.0,9.382637299606029e-05
