,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Mcap_Units_Index_Currency,Weight,SEDOL
33468,2023-12-18,2034,TH216J,TH0324B10Z01,HANA MICROELECTRONICS,TH,THB,10102010.0,1.0,934096805.0,0.0006759017679713786,B42GPD1
33469,2023-12-18,2034,TW0470,TW0002504008,Taiwan Goldsun Building Mat.,TW,TWD,50101030.0,1.0,921726735.0,0.0006669509267543061,6375564
33470,2023-12-18,2034,406720,TRAAYGAZ91E0,AYGAZ,TR,TRY,65102020.0,1.0,272502783.0,0.00019717989808007205,B03MPL8
33471,2023-12-18,2034,IN816K,INE036B01030,GUJARAT AMBUJA EXPORTS,IN,INR,45102030.0,1.0,385375768.0,0.00027885349947699245,BNGFSG1
33472,2023-12-18,2034,TW05ZT,TW0003042008,TXC Corp,TW,TWD,10102015.0,1.0,989591100.0,0.0007160568053315859,6336248
33473,2023-12-18,2034,KR07TB,KR7353200009,Daeduck Electr,KR,KRW,10102015.0,1.0,704017445.0,0.0005094189737199591,BMD3GQ7
33474,2023-12-18,2034,IN50KU,INE482A01020,CEAT,IN,INR,40101015.0,1.0,628548035.0,0.00045481017153402634,6345482
33475,2023-12-18,2034,CN0OD0,CNE1000002G3,CHINA COMMS.SVS.'H',CN,HKD,15102015.0,1.0,1009216647.0,0.0007302576267493461,B1HVJ16
33476,2023-12-18,2034,TH513J,TH6253010008,PLAN B MEDIA,TH,THB,40301020.0,0.7819981,515270564.0,0.00037284388869225323,BVG6VZ0
33477,2023-12-18,2034,778920,TREULKR00015,ULKER BISKUVI,TR,TRY,45102020.0,1.0,413977066.0,0.00029954907169284673,B03MYX3
33478,2023-12-18,2034,TW03XP,TW0002455003,Visual Photonics,TW,TWD,10102010.0,1.0,915623855.0,0.0006625349525644392,6441573
33479,2023-12-18,2034,619728,HK0308001558,CTII.INTL.INV.HK.,CN,HKD,40501015.0,1.0,312361320.0,0.0002260210797251079,6197285
33480,2023-12-18,2034,KR02ER,KR7003690005,Korean Reinsu,KR,KRW,30302020.0,1.0,754334078.0,0.0005458275140564899,B01T146
33481,2023-12-18,2034,IN314D,INE385C01021,SARDA ENERGY & MINERALS,IN,INR,55102010.0,1.0,297147493.0,0.00021501252845732927,BRZS5S0
