STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
CN1O4S;6907774;HK0697002241;20190318;1;1.0
PK218K;6461560;PK0054501017;20190318;1;1.0
TW07OK;6156673;TW0006005002;20190318;1;1.0
CN88IX;6410324;KYG8917X1218;20190318;1;1.0
KR10ZB;6149383;KR7008060006;20190318;1;1.0
ID00LG;6043485;ID1000068703;20190318;1;1.0
TW05TN;6295866;TW0003019006;20190318;1;1.0
TW04NG;6987583;TW0002609005;20190318;1;1.0
MX00M5;B3B1C73;MX01LA010006;20190318;1;1.0
KR01HT;6276117;KR7001230002;20190318;1;1.0
KR60DU;B1L3VL2;KR7039200001;20190318;1;1.0
CL02HG;B031CM5;CL0000000449;20190318;1;1.0
TW1APP;B5T7VM5;KYG898431096;20190318;1;1.0
TH513J;BVG6VZ0;TH6253010008;20190318;1;0.8243016
TW01A0;6804886;TW0001409001;20190318;1;1.0
ID6089;BXNSRW2;ID1000133903;20190318;1;1.0
TW08KH;6897864;TW0009907006;20190318;1;1.0
TW103T;B58KV47;TW0001789006;20190318;1;1.0
MY00SC;6331566;MYL1562OO007;20190318;1;1.0
IN06GR;BZ7PLF4;INE036D01028;20190318;1;0.4
BR13EK;2906786;BRTUPYACNOR1;20190318;1;1.0
CN24FK;6026691;CNE000000K82;20190318;1;1.0
IN125D;B4TL1F3;INE933K01021;20190318;1;1.0
ID00SN;B2RHG43;ID1000110901;20190318;1;1.0
TH407L;6614267;TH0697010Z03;20190318;1;1.0
ID7046;BD3RRL8;ID1000137706;20190318;1;1.0
IN07P1;B0FXGP0;INE868B01028;20190318;1;0.8628731
KR05FV;6311632;KR7039130000;20190318;1;1.0
TW117Y;6290991;TW0003036000;20190318;1;1.0
CN1O5T;BZBY9R5;KYG3165D1097;20190318;1;1.0
TW03B3;6059998;TW0002373008;20190318;1;1.0
TW405Y;BGCWLC4;KYG211641017;20190318;1;1.0
TW06UP;B284BT3;TW0003576005;20190318;1;1.0
KR190L;6430139;KR7058470006;20190318;1;1.0
HK00PQ;B1528Y7;KYG886801060;20190318;1;1.0
HK19OZ;BNFWNX5;KYG244421080;20190318;1;1.0
IN01JP;6708289;INE428A01015;20190318;1;0.4414037
IN50Y8;B0CJ800;INE823G01014;20190318;1;0.5296844
TH40ES;BQV6FP8;TH0940010Y08;20190318;1;0.9336845
PK404H;B668PD7;PK0099701010;20190318;1;1.0
TW016W;6381237;TW0001312007;20190318;1;1.0
CN24OT;6196077;CNE0000004K3;20190318;1;1.0
CN8D9T;B4TK7G3;KYG3311L1041;20190318;1;1.0
CN00NM;2186191;BMG210821051;20190318;1;1.0
CN86Q3;B3Q0VS9;US90138A1034;20190318;1;1.0
TW02OF;6215273;TW0002313004;20190318;1;1.0
RU702U;BYQDNK1;RU000A0JVW89;20190318;1;1.0
HK1AEQ;BZBXXJ2;KYG8116R1074;20190318;1;1.0
KR04L0;6113612;KR7023590003;20190318;1;1.0
BR10GJ;B06YX28;BRMYPKACNOR7;20190318;1;1.0
RU603U;BX1B4Y4;RU000A0JVBT9;20190318;1;1.0
KR16XF;B3SHRR9;KR7102940004;20190318;1;1.0
