,Date,Index_Component_Count,Internal_Number,ISIN,SEDOL,Instrument_Name,Country,Currency,ICB
51071,2023-12-18,1148,CN2ZPP,CNE100002FW4,BYW5N56,OPPLE LIGHTING 'A' (CCS),CN,CNY,50101035.0
50793,2023-12-18,1148,CN247C,CNE000000SK7,6019011,INNER MONGOLIA YITAI COAL 'B',CN,USD,60101040.0
51017,2023-12-18,1148,CN37QZ,CNE100002Z65,BK947P6,YANTAI EDDIE PRECN.MCH. 'A' (CCS),CN,CNY,50204000.0
51192,2023-12-18,1148,CN2S5Y,CNE000000VK1,BD5CDP7,Sz Airport 'A' (CCS),CN,CNY,50206060.0
51011,2023-12-18,1148,CN356D,CNE100004C60,BMZ58C1,BANK OF CHONGQING 'A' (CCS),CN,CNY,30101010.0
50774,2023-12-18,1148,CN1OXL,US54975P2011,BR0V7R7,LUFAX HLDG 1:2 ADS,CN,USD,30201020.0
51035,2023-12-18,1148,CN3248,CNE100000C56,BD5LW35,Tayho Advanced Materials Group 'A' (CCS),CN,CNY,55201010.0
51053,2023-12-18,1148,CN2MVI,CNE0000019G9,BP3RGG0,SHN.EXPRESSWAY 'A' (CCS),CN,CNY,50206060.0
51033,2023-12-18,1148,CN2V62,CNE100000T99,BD5LSR1,STO EXPRESS 'A' (CCS),CN,CNY,50206040.0
51066,2023-12-18,1148,CN2SPI,CNE0000002G5,BD5CJP9,Weifu Hi-Tech Gp 'A' (CCS),CN,CNY,40101025.0
51200,2023-12-18,1148,CN2XWU,CNE0000009B1,BD5CML6,BOHAI LEASING 'A' (CCS),CN,CNY,50206050.0
51028,2023-12-18,1148,CN369H,CNE100003J15,BMTCX56,RIYUE HEAVY IND.'A' (CCS),CN,CNY,55102015.0
51006,2023-12-18,1148,CN2VEA,CNE100001R82,BHRV3N8,GUANGDONG XINBAO ELECT. APP.A (CCS),CN,CNY,40202020.0
51036,2023-12-18,1148,CN2UC7,CNE100000HQ6,BD5CJG0,SICHUAN DEVELOPMENT LOMON 'A' (CCS),CN,CNY,55201015.0
51196,2023-12-18,1148,CN2EP4,CNE0000017V2,BP3R8Q4,Panjiang Coal 'A' (CCS),CN,CNY,60101040.0
50781,2023-12-18,1148,CN429E,US04965M1062,BLN9P16,ATOUR LIFESTYLE HOLDINGS LTD ADR,CN,USD,40501025.0
51016,2023-12-18,1148,CN2F9P,CNE000000Y94,BP3RMH3,LUENMEI QUANTUM HDG.'A' (CCS),CN,CNY,65102000.0
51059,2023-12-18,1148,CN34V1,CNE100003S63,BL6CMF5,SICHUAN ANNING IRON & TI. 'A' (CCS),CN,CNY,55102000.0
51013,2023-12-18,1148,CN2GO5,CNE000001JS7,BD5CKP6,TRANSFAR ZHILIAN 'A' (CCS),CN,CNY,50206060.0
51106,2023-12-18,1148,CN31VY,CNE1000008C9,BD5CQT2,Youngy 'A' (CCS),CN,CNY,55102050.0
51029,2023-12-18,1148,CN2EXC,CNE1000015X0,BP3RD70,JIANGSU LINYANG ENERGY 'A' (CCS),CN,CNY,50202025.0
