,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Weight
177495,2023-12-18,2027,CN1PTI,CNE0000004B2,SHANGHAI ZHONGYIDA 'B',CN,USD,50204000,4.101424997603556e-05
176829,2023-12-18,2027,TR80E6,TREADSE00015,ADESE GAYRIMENKUL YATIRIM AS,TR,TRY,45201010,4.0772582902558566e-05
177122,2023-12-18,2027,PL403H,PLMDCLG00015,MEDICALGORITHMICS,PL,PLN,20102020,4.056537110604448e-05
177517,2023-12-18,2027,CN24X2,CNE000000FD9,SHANGHAI NEW POWER AUTOMOT 'B',CN,USD,50204030,4.043820447195518e-05
177210,2023-12-18,2027,PL309M,PLBCLTX00019,BIOCELTIX,PL,PLN,20103015,3.922212091945363e-05
177373,2023-12-18,2027,MY30CZ,MYL5230OO007,TUNE PROTECT GROUP,MY,MYR,30302010,3.8216792080986034e-05
177444,2023-12-18,2027,MY23H6,MYL6084OO007,STAR MEDIA GROUP,MY,MYR,40301030,3.8003812621703945e-05
177432,2023-12-18,2027,MY21H4,MYL5113OO005,RIMBUNAN SAWIT,MY,MYR,45102010,3.797336738181818e-05
177344,2023-12-18,2027,MY20OA,MYL5077OO002,MALAYSIAN BULK CARRIERS,MY,MYR,50206030,3.7817342765085094e-05
177009,2023-12-18,2027,TR00AU,TRAOKANT91B5,IHLAS GAYMEN.PROJE GELISTIRME,TR,TRY,35101010,3.744535303109015e-05
176994,2023-12-18,2027,446208,TRAIHLAS91D5,IHLAS HOLDING,TR,TRY,50203000,3.604365532404399e-05
173754,2023-12-18,2027,EG104Z,EGS3F021C017,INDL.ENGR.FOR CON. &. DEV.SAE,EG,EGP,50101035,3.580089439554026e-05
177296,2023-12-18,2027,MY10M7,MYL5147OO003,SAMCHEM HOLDINGS,MY,MYR,55201000,3.541191178265017e-05
176923,2023-12-18,2027,TR014P,TRELKMH00013,LOKMAN HEKIM ENGR SAGLIK TURIZ,TR,TRY,20101010,3.532278221756311e-05
173745,2023-12-18,2027,EG102X,EGS696S1C016,ORASCOM FINANCIAL HOLDING,EG,EGP,15102015,3.472009694851461e-05
176935,2023-12-18,2027,TR11UG,TREMTRK00015,MATRIKS BILGI DAGITIM,TR,TRY,30202015,3.380894869395327e-05
177395,2023-12-18,2027,MY508X,MYL5219OO000,PESTECH INTERNATIONAL,MY,MYR,50101015,3.32172408402448e-05
177135,2023-12-18,2027,PL11T5,PLWNDMB00010,AILLERON,PL,PLN,10101015,3.3095223923519986e-05
177464,2023-12-18,2027,MY010L,MYL7803OO009,HEXTAR HEALTH,MY,MYR,20102015,3.253113433898587e-05
177394,2023-12-18,2027,MY20WI,MYL5101OO000,EVERGREEN FIBREBOARD,MY,MYR,50101035,3.2009505965334244e-05
